IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban,cluster_label,dataset
529821616_49dc772ee4_1100_26519935@N00.jpg,26519935@N00,22.545527,114.09909,2,15,273,0.0115215904707319,0.0143901271069069,0.974088265843406,0,im2gps
359686034_43ad44ab7e_161_77235581@N00.jpg,77235581@N00,58.207914,-6.389622,1,6,171,0.000158544301712,0.5346027396437592,0.4652387183682265,1,im2gps
844117341_25ecf3a54f_1350_76306992@N00.jpg,76306992@N00,50.851908,4.349212,0,0,39,0.9966414820820412,2.7183671937880405e-05,0.0033313601161035,2,im2gps
244383114_9d86be522e_91_40829484@N00.jpg,40829484@N00,40.747305,-74.035384,2,15,307,0.0925517607308847,0.0092205556429689,0.8982277350155528,3,im2gps
34489106_b6bb027a4c_23_49503208420@N01.jpg,49503208420@N01,-23.546363,-65.398178,1,7,233,0.0009054550668849,0.7368702269435516,0.2622243172279468,4,im2gps
244685754_fa9cd577a8_94_77235581@N00.jpg,77235581@N00,58.313501,-6.739253,1,6,97,0.0002725233401674,0.9788517368745602,0.0208757122087561,5,im2gps
502121673_eebb1e4d01_201_15632944@N00.jpg,15632944@N00,51.127471,16.952977,2,15,283,0.0071413511449343,0.0046945034804899,0.988164038887291,6,im2gps
236100705_740713878c_98_79954435@N00.jpg,79954435@N00,37.814123,-119.528503,1,6,234,1.401800227940342e-05,0.8208320645256215,0.1791539554270587,7,im2gps
232651201_3ad49f032e_83_14542551@N00.jpg,14542551@N00,34.800695,114.356174,0,0,72,0.9904065048562511,2.3276300138430628e-05,0.0095702417270007,8,im2gps
486640467_2747f82c8f_224_26519935@N00.jpg,26519935@N00,38.8494,121.391544,1,8,249,3.0030333619585525e-06,0.9998525518449828,0.0001445166305692,9,im2gps
231681284_f16f724cd6_81_56945335@N00.jpg,56945335@N00,-33.80939,18.924636,2,14,296,0.0021956773599072,0.0681045025852995,0.9296998316592068,10,im2gps
143033183_8fd477e31d_56_46054052@N00.jpg,46054052@N00,-12.608176,132.297363,1,8,249,7.167383593609244e-05,0.9558786492105114,0.0440497248632567,11,im2gps
1103239315_41b27d754d_1309_70323761@N00.jpg,70323761@N00,40.739303,-74.0072,0,0,98,0.9901809398466384,0.0018311267937907,0.007988033462583,12,im2gps
1256214157_e5f8bc3389_1430_33463080@N00.jpg,33463080@N00,11.580858,104.921321,0,0,122,0.7288719666231511,0.0228254139309882,0.2483025914197298,13,im2gps
174533354_bdf1dd35e1_53_82927779@N00.jpg,82927779@N00,51.502358,-0.021843,0,4,325,0.6134202098290302,0.0190769312169436,0.3675028064472485,14,im2gps
317138551_927e4aeb8f_120_40279823@N00.jpg,40279823@N00,22.532695,103.365211,1,7,140,0.0276600303631084,0.6779886620824982,0.2943512899994402,15,im2gps
165767244_d5121281d3_54_23601949@N00.jpg,23601949@N00,16.570143,-88.356513,2,12,189,0.1914155737465952,0.0852970206651519,0.7232873160441198,16,im2gps
241871314_da124b8144_91_74806935@N00.jpg,74806935@N00,41.591639,-82.705136,2,10,59,5.188688328194857e-05,0.4899710864976798,0.5099770918483388,17,im2gps
237535386_c5f13037d2_95_82981539@N00.jpg,82981539@N00,37.567031,126.980667,2,12,351,0.0006630442898289,0.1570720285487148,0.842264989986397,18,im2gps
523184139_a67f3e9222_204_51035632501@N01.jpg,51035632501@N01,48.884867,2.342507,2,12,7,0.1613819756262486,0.1577461998362395,0.6808717959672492,19,im2gps
224678511_036523375f_63_83039477@N00.jpg,83039477@N00,23.623136,32.780456,1,7,116,0.0007073983997827,0.9624998952559736,0.0367928085350683,20,im2gps
266539680_dab460324f_118_18684820@N00.jpg,18684820@N00,37.807402,-122.410933,2,10,71,0.4736818705680308,3.528648535677803e-05,0.5262829230934614,21,im2gps
447923902_544b51d411_214_55126705@N00.jpg,55126705@N00,17.226151,-89.612216,1,8,150,0.0001181203816348,0.9630088697711798,0.0368730272166351,22,im2gps
484199684_09c57af496_230_50435419@N00.jpg,50435419@N00,-34.609758,-58.411216,0,5,315,0.9654017012265969,0.0006652736937411,0.0339330300302549,23,im2gps
338875021_a171956837_151_65367662@N00.jpg,65367662@N00,36.422344,-116.84299,1,7,116,6.05583508557217e-05,0.974900648113671,0.0250387873845658,24,im2gps
104134249_80c92294db_19_19355699@N00.jpg,19355699@N00,-33.861328,151.209039,2,10,66,0.0003826378782036,0.0805042477630593,0.9191131473386064,25,im2gps
315247273_171bd98ba3_101_23812473@N00.jpg,23812473@N00,45.926319,6.867828,1,6,111,0.0015661970418161,0.8606134088618234,0.1378203756897136,26,im2gps
1104068861_5792a115db_1369_33463080@N00.jpg,33463080@N00,13.372585,103.856849,2,11,86,0.1403359279568121,0.0447767206173921,0.8148872881087073,27,im2gps
487043497_3fddb48313_186_8159033@N04.jpg,8159033@N04,39.923165,116.402549,2,11,200,0.0080539090294102,0.0156389541293933,0.976307241100443,28,im2gps
377497538_b65ffb3ce4_178_94949650@N00.jpg,94949650@N00,43.694066,7.254838,2,12,83,0.2571324822171377,0.0003097038945503,0.7425576875445112,29,im2gps
359862438_7842039e07_129_36887937@N00.jpg,36887937@N00,17.452736,78.377819,0,5,315,0.934225929447507,0.0025055059570888,0.063268528520723,30,im2gps
536939015_4c11d49ea3_1188_79756109@N00.jpg,79756109@N00,37.81083,-122.411191,2,10,266,0.0048112566562679,0.0905397653849604,0.904649047112855,31,im2gps
454337490_00d44d1193_239_55126705@N00.jpg,55126705@N00,20.491587,-87.72377,2,11,12,0.0228073668409365,0.1287911919289399,0.8484014479019208,32,im2gps
558188034_264aad3587_1354_61819159@N00.jpg,61819159@N00,36.690721,-6.125907,2,11,84,0.0146570273215047,0.0466809253816791,0.9386620090335782,33,im2gps
312885025_798ef04321_111_30554981@N00.jpg,30554981@N00,22.381833,114.27415,2,12,7,0.0694748391871655,0.2763785664002967,0.6541465063883152,34,im2gps
453352488_4565eb1fe2_209_16836474@N00.jpg,16836474@N00,8.971219,-79.530887,2,11,10,0.0010048995420319,0.3947356639568795,0.6042593937995377,35,im2gps
452264754_a404f9fac7_189_26519935@N00.jpg,26519935@N00,22.297593,114.286222,1,8,306,0.0013488600115323,0.9335263295538424,0.0651247867843665,36,im2gps
1343085868_18861e2149_1078_11786349@N08.jpg,11786349@N08,-32.897533,-68.833808,2,12,159,0.0025877536785756,0.1062066844029585,0.8912055442898015,37,im2gps
480138739_fccfdecbbf_184_15632944@N00.jpg,15632944@N00,52.108771,16.111192,2,10,278,0.4906224343260197,8.916277279169549e-05,0.5092883383418689,38,im2gps
531104457_35b1f33bda_1037_79756109@N00.jpg,79756109@N00,20.775324,-156.536121,1,6,97,0.001299692507132,0.975782261681502,0.0229180058870497,39,im2gps
